OrderID,OrderDate,Region,City,Store,SalesChannel,CustomerID,Model,Variant,Color,StorageGB,WarrantyMonths,Serial,PaymentMethod,ListPrice,DiscountPct,DiscountAmount,FinalUnitPrice,Quantity,TotalAmount,SalesRep
ORD-00504,2023-01-02 23:34,India,Pune,Best Buy,Retail,CUST-930910,iPhone 16 Pro,512GB/Midnight,Midnight,512,12,211320272084MNG,Credit Card,1428.7,1.52,21.72,1406.98,1,1406.98,P. Nair
ORD-00232,2023-01-03 11:12,South East Asia,,Walmart,Retail,CUST-259608,iPhone 15,256GB/Midnight,Midnight,256,12,402557735521KCZ,Debit Card,918.85,4.07,37.36,881.49,1,881.49,I. Wilson
ORD-00499,2023-01-04 22:33,India,Ahmedabad,JD Central,Retail,CUST-535165,iPhone 15 Pro Max,256GB/Black,Black,256,12,992801233255NBM,Debit Card,1378.85,4.13,56.91,1321.94,2,2643.88,P. Nair
ORD-00506,2023-01-06 20:14,North America,,Reliance Digital,Retail,CUST-184141,iPhone 14 Pro Max,256GB/Midnight,Midnight,256,12,773721878105FVT,Debit Card,1263.85,5.61,70.9,1192.95,3,3578.85,F. Garcia
ORD-00783,2023-01-09 07:39,North America,,Apple Reseller,Authorized Reseller,CUST-795891,iPhone 15 Plus,256GB/Space Black,Space Black,256,24,960121114998FLH,Credit Card,1033.85,1.78,18.36,1015.49,2,2030.98,H. Martin
ORD-00988,2023-01-09 12:03,North America,,Apple Reseller,Retail,CUST-982631,iPad Pro 13,128GB/Space Black,Space Black,128,12,292782001036CLK,Credit Card,1299.0,4.63,60.17,1238.83,2,2477.66,M. Das
ORD-00756,2023-01-10 03:05,Europe,,Jumia,Online,CUST-347713,iPhone 14 Plus,128GB/Titanium,Titanium,128,24,160093569969FCS,Credit Card,799.0,3.08,24.61,774.39,3,2323.17,K. Davis
ORD-00649,2023-01-10 04:54,Europe,,Flipkart Online,Online,CUST-520304,iPhone 14 Pro Max,512GB/Starlight,Starlight,512,24,272185911272VZT,Wallet,1428.7,3.42,48.92,1379.78,2,2759.56,K. Davis
ORD-00526,2023-01-13 05:38,Europe,,Flipkart Online,Online,CUST-304985,iPad Air (M2),256GB/Green,Green,256,12,968801132011KJZ,Credit Card,688.85,3.82,26.32,662.53,3,1987.59,M. Das
ORD-00170,2023-01-13 16:44,Middle East,,Amazon Online,Online,CUST-566648,iPhone SE (3rd Gen),64GB/White,White,64,12,254229935186FXX,Credit Card,429.0,3.99,17.11,411.89,2,823.78,K. Davis
ORD-00894,2023-01-16 14:23,Latin America,,eBay Store,Authorized Reseller,CUST-297317,iPhone 14 Pro Max,512GB/Midnight,Midnight,512,24,639740271074FSE,Credit Card,1428.7,5.28,75.4,1353.3,1,1353.3,R. Sharma
ORD-00631,2023-01-18 21:50,Middle East,,Apple Reseller,Online,CUST-805575,iPhone 16,128GB/Blue,Blue,128,12,571297826757URX,UPI,799.0,7.78,62.14,736.86,1,736.86,P. Nair
ORD-00717,2023-01-20 19:35,India,Coimbatore,Best Buy,Authorized Reseller,CUST-131125,iPhone 15,256GB/Titanium,Titanium,256,24,286037590873RQF,UPI,918.85,7.84,72.0,846.85,1,846.85,V. Gupta
ORD-00815,2023-01-21 09:04,Africa,,Croma,Retail,CUST-901145,iPad Pro 13,1024GB/Space Black,Space Black,1024,12,553797952540CQA,Debit Card,1883.55,0.64,12.1,1871.45,3,5614.35,A. Kumar
ORD-00314,2023-01-22 08:38,Latin America,,JD Central,Online,CUST-141271,iPhone 16 Pro,128GB/White,White,128,12,053545459566KDH,EMI,1099.0,4.55,49.99,1049.01,1,1049.01,H. Martin
ORD-00150,2023-01-22 21:04,North America,,Reliance Digital,Authorized Reseller,CUST-650762,iPad Pro 13,512GB/Blue,Blue,512,24,316586892367NQV,UPI,1688.7,1.9,32.12,1656.58,2,3313.16,L. Chen
ORD-00477,2023-01-22 23:15,South East Asia,,Apple Reseller,Carrier,CUST-890711,iPad Pro 11,256GB/Titanium,Titanium,256,12,268228967403XLK,EMI,1148.85,5.08,58.32,1090.53,1,1090.53,K. Davis
ORD-00847,2023-01-24 21:28,North America,,Amazon Online,Online,CUST-389724,iPhone 15 Pro,256GB/Black,Black,256,12,144948139705KTE,UPI,1148.85,6.54,75.18,1073.67,2,2147.34,I. Wilson
ORD-00319,2023-01-25 21:14,South East Asia,,eBay Store,Carrier,CUST-318034,iPad Air (M2),1024GB/Pink,Pink,1024,24,358519079960YEP,Debit Card,868.55,4.93,42.82,825.73,1,825.73,A. Kumar
ORD-00037,2023-01-26 15:03,South East Asia,,Flipkart Online,Retail,CUST-609396,iPhone 16 Pro Max,256GB/Green,Green,256,12,413748477718GKC,UPI,1493.85,3.3,49.33,1444.52,3,4333.56,J. Park
ORD-00315,2023-01-26 21:26,North America,,Target,Retail,CUST-893027,iPhone SE (3rd Gen),64GB/White,White,64,12,930224485664EHT,Credit Card,429.0,1.5,6.45,422.55,3,1267.65,J. Park
ORD-00373,2023-01-28 01:42,India,Hyderabad,Amazon Online,Carrier,CUST-498791,iPhone 14,128GB/Midnight,Midnight,128,12,739929786214ZQC,Cash,699.0,6.25,43.67,655.33,3,1965.99,I. Wilson
ORD-00110,2023-01-28 11:55,Europe,,Lazada,Retail,CUST-962569,iPad Air (M2),1024GB/Green,Green,1024,24,248442605069WUB,Credit Card,868.55,2.6,22.54,846.01,2,1692.02,D. Johnson
ORD-00857,2023-01-31 02:12,South East Asia,,Apple Reseller,Retail,CUST-505133,iPad Pro 11,256GB/Red,Red,256,24,410993352207BGC,Cash,1148.85,4.75,54.58,1094.27,2,2188.54,R. Sharma
ORD-00102,2023-01-31 21:00,India,Visakhapatnam,Noon,Online,CUST-319938,iPad Pro 11,256GB/Blue,Blue,256,24,144919232752GNT,Net Banking,1148.85,6.55,75.29,1073.56,1,1073.56,V. Gupta
ORD-00401,2023-02-02 00:09,India,Visakhapatnam,Jumia,Retail,CUST-628239,iPhone 14 Pro,256GB/Midnight,Midnight,256,12,311839812467JUH,Debit Card,1148.85,3.39,38.96,1109.89,1,1109.89,L. Chen
ORD-00647,2023-02-02 07:51,Europe,,Walmart,Online,CUST-298010,iPhone 15 Pro,128GB/Titanium,Titanium,128,12,721189139901LFX,EMI,999.0,9.11,90.99,908.01,2,1816.02,M. Das
ORD-00130,2023-02-02 14:51,South East Asia,,Jumia,Online,CUST-632458,iPhone 16 Pro Max,128GB/Black,Black,128,12,582708425606GJU,UPI,1299.0,8.45,109.77,1189.23,1,1189.23,R. Sharma
ORD-00800,2023-02-02 16:03,Latin America,,Amazon Online,Retail,CUST-693423,iPhone 15 Pro,128GB/Pink,Pink,128,24,617028580560DES,Debit Card,999.0,2.91,29.06,969.94,2,1939.88,V. Gupta
ORD-00034,2023-02-02 21:37,India,Chennai,Amazon Online,Enterprise,CUST-936729,iPhone 14 Pro,1024GB/Titanium,Titanium,1024,12,310025167800WTX,Credit Card,1448.55,8.93,129.42,1319.13,2,2638.26,A. Kumar
ORD-00956,2023-02-03 08:50,India,Bengaluru,Croma,Carrier,CUST-886357,iPad Air (M2),128GB/Blue,Blue,128,12,043018914203UQS,Credit Card,599.0,5.27,31.57,567.43,1,567.43,M. Das
ORD-00026,2023-02-04 20:05,Europe,,JD Central,Retail,CUST-940568,iPhone 14 Pro Max,256GB/Green,Green,256,12,419314170586JVE,Credit Card,1263.85,0.64,8.13,1255.72,1,1255.72,V. Gupta
ORD-00829,2023-02-05 11:29,Middle East,,Reliance Digital,Authorized Reseller,CUST-476367,iPhone 14,128GB/Green,Green,128,12,101628249690JSE,Debit Card,699.0,3.24,22.65,676.35,1,676.35,R. Sharma
ORD-00415,2023-02-06 15:47,East Asia,,Flipkart Online,Retail,CUST-532075,iPhone 15 Plus,256GB/Red,Red,256,24,816320963547PNB,Credit Card,1033.85,1.82,18.85,1015.0,1,1015.0,F. Garcia
ORD-00270,2023-02-07 15:48,India,Delhi,Croma,Online,CUST-208858,iPhone 15,128GB/Space Black,Space Black,128,24,122829851860CAT,Debit Card,799.0,9.12,72.83,726.17,2,1452.34,A. Kumar
